,direct_fixed,division_fixed,eff_year,award_id,total_funding
596,Directorate For Geosciences,division of ocean sciences,1998,458,139287079
597,Directorate For Geosciences,division of ocean sciences,1999,451,128596703
598,Directorate For Geosciences,division of ocean sciences,2000,524,771553001
599,Directorate For Geosciences,division of ocean sciences,2001,488,169303615
600,Directorate For Geosciences,division of ocean sciences,2002,481,342377486
601,Directorate For Geosciences,division of ocean sciences,2003,510,879236616
602,Directorate For Geosciences,division of ocean sciences,2004,478,479631514
603,Directorate For Geosciences,division of ocean sciences,2005,434,545202196
604,Directorate For Geosciences,division of ocean sciences,2006,494,257826285
605,Directorate For Geosciences,division of ocean sciences,2007,469,235785037
606,Directorate For Geosciences,division of ocean sciences,2008,474,209768473
607,Directorate For Geosciences,division of ocean sciences,2009,603,846778783
608,Directorate For Geosciences,division of ocean sciences,2010,627,640467164
609,Directorate For Geosciences,division of ocean sciences,2011,454,181235886
610,Directorate For Geosciences,division of ocean sciences,2012,442,585077195
611,Directorate For Geosciences,division of ocean sciences,2013,430,243879844
612,Directorate For Geosciences,division of ocean sciences,2014,394,524310523
613,Directorate For Geosciences,division of ocean sciences,2015,456,208442172
614,Directorate For Geosciences,division of ocean sciences,2016,403,221388084
615,Directorate For Geosciences,division of ocean sciences,2017,432,489445138
616,Directorate For Geosciences,division of ocean sciences,2018,478,356019612
617,Directorate For Geosciences,division of ocean sciences,2019,336,132465601
618,Directorate For Geosciences,division of ocean sciences,2020,10,4002112
619,Directorate For Geosciences,division of polar programs,1970,3,264050
620,Directorate For Geosciences,division of polar programs,1971,7,1169400
621,Directorate For Geosciences,division of polar programs,1972,8,978382
622,Directorate For Geosciences,division of polar programs,1973,11,1017200
623,Directorate For Geosciences,division of polar programs,1974,7,645000
624,Directorate For Geosciences,division of polar programs,1976,6,154254
625,Directorate For Geosciences,division of polar programs,1977,4,78375
626,Directorate For Geosciences,division of polar programs,1978,2,82323
627,Directorate For Geosciences,division of polar programs,1979,3,206913
628,Directorate For Geosciences,division of polar programs,1980,4,268327
629,Directorate For Geosciences,division of polar programs,1984,1,50000
630,Directorate For Geosciences,division of polar programs,1986,1,423347
631,Directorate For Geosciences,division of polar programs,1989,3,517828
632,Directorate For Geosciences,division of polar programs,1990,2,76712
633,Directorate For Geosciences,division of polar programs,1991,8,3428242
634,Directorate For Geosciences,division of polar programs,1992,8,1556102
635,Directorate For Geosciences,division of polar programs,1993,10,48911925
636,Directorate For Geosciences,division of polar programs,1994,28,8045068
637,Directorate For Geosciences,division of polar programs,1995,22,5594719
638,Directorate For Geosciences,division of polar programs,1996,58,12004245
639,Directorate For Geosciences,division of polar programs,1997,55,17714129
640,Directorate For Geosciences,division of polar programs,1998,28,7696365
641,Directorate For Geosciences,division of polar programs,1999,52,15226506
642,Directorate For Geosciences,division of polar programs,2000,53,23179552
643,Directorate For Geosciences,division of polar programs,2001,34,18698330
644,Directorate For Geosciences,division of polar programs,2002,43,12518979
645,Directorate For Geosciences,division of polar programs,2003,55,30617508
646,Directorate For Geosciences,division of polar programs,2004,48,31091349
647,Directorate For Geosciences,division of polar programs,2005,53,34176557
648,Directorate For Geosciences,division of polar programs,2006,44,5145830
649,Directorate For Geosciences,division of polar programs,2007,60,17128347
650,Directorate For Geosciences,division of polar programs,2008,32,11164137
651,Directorate For Geosciences,division of polar programs,2009,54,17765280
652,Directorate For Geosciences,division of polar programs,2010,48,123114984
653,Directorate For Geosciences,division of polar programs,2011,36,115046383
654,Directorate For Geosciences,division of polar programs,2012,25,16330911
655,Directorate For Geosciences,division of polar programs,2013,21,9653334
656,Directorate For Geosciences,division of polar programs,2014,6,318817
657,Directorate For Geosciences,division of polar programs,2015,7,4998917
658,Directorate For Geosciences,division of polar programs,2016,4,1207354
659,Directorate For Geosciences,integrative and collaborative education and research (icer) ,1974,1,14240400
660,Directorate For Geosciences,integrative and collaborative education and research (icer) ,1978,2,50166547
661,Directorate For Geosciences,integrative and collaborative education and research (icer) ,2007,2,13850000
662,Directorate For Geosciences,integrative and collaborative education and research (icer) ,2009,3,6489040
663,Directorate For Geosciences,integrative and collaborative education and research (icer) ,2011,9,6598325
664,Directorate For Geosciences,integrative and collaborative education and research (icer) ,2012,16,14326574
665,Directorate For Geosciences,integrative and collaborative education and research (icer) ,2013,56,31876034
666,Directorate For Geosciences,integrative and collaborative education and research (icer) ,2014,59,24012424
667,Directorate For Geosciences,integrative and collaborative education and research (icer) ,2015,90,37016809
668,Directorate For Geosciences,integrative and collaborative education and research (icer) ,2016,103,39196084
669,Directorate For Geosciences,integrative and collaborative education and research (icer) ,2017,105,37950351
670,Directorate For Geosciences,integrative and collaborative education and research (icer) ,2018,58,20755721
671,Directorate For Geosciences,integrative and collaborative education and research (icer) ,2019,167,49165184
672,Directorate For Geosciences,integrative and collaborative education and research (icer) ,2020,15,8487106
674,Directorate For Geosciences,office of polar programs,1964,1,18800
675,Directorate For Geosciences,office of polar programs,1966,1,42000
676,Directorate For Geosciences,office of polar programs,1967,1,2224050
677,Directorate For Geosciences,office of polar programs,1969,1,34400
678,Directorate For Geosciences,office of polar programs,1970,6,9359595
679,Directorate For Geosciences,office of polar programs,1971,17,4122363
680,Directorate For Geosciences,office of polar programs,1972,8,21553300
681,Directorate For Geosciences,office of polar programs,1973,13,16040526
682,Directorate For Geosciences,office of polar programs,1974,35,8590079
683,Directorate For Geosciences,office of polar programs,1975,28,21815589
684,Directorate For Geosciences,office of polar programs,1976,12,999306773
685,Directorate For Geosciences,office of polar programs,1977,17,3510998
686,Directorate For Geosciences,office of polar programs,1978,21,20888
687,Directorate For Geosciences,office of polar programs,1979,2,248315894
688,Directorate For Geosciences,office of polar programs,1980,1,2625825
689,Directorate For Geosciences,office of polar programs,1981,1,67558
690,Directorate For Geosciences,office of polar programs,1982,2,1520782
691,Directorate For Geosciences,office of polar programs,1983,1,16908238
692,Directorate For Geosciences,office of polar programs,1984,1,1
693,Directorate For Geosciences,office of polar programs,1985,3,1496444
694,Directorate For Geosciences,office of polar programs,1986,2,499505
695,Directorate For Geosciences,office of polar programs,1987,4,8167790
696,Directorate For Geosciences,office of polar programs,1988,6,4550851
697,Directorate For Geosciences,office of polar programs,1989,2,903559207
698,Directorate For Geosciences,office of polar programs,1990,9,10735881
699,Directorate For Geosciences,office of polar programs,1991,44,51915984
700,Directorate For Geosciences,office of polar programs,1992,47,10734103
701,Directorate For Geosciences,office of polar programs,1993,35,12350992
702,Directorate For Geosciences,office of polar programs,1994,101,63162738
703,Directorate For Geosciences,office of polar programs,1995,78,20004304
704,Directorate For Geosciences,office of polar programs,1996,172,45509911
705,Directorate For Geosciences,office of polar programs,1997,212,883954577
706,Directorate For Geosciences,office of polar programs,1998,173,45669225
707,Directorate For Geosciences,office of polar programs,1999,216,1937234288
708,Directorate For Geosciences,office of polar programs,2000,223,305200998
709,Directorate For Geosciences,office of polar programs,2001,174,178510618
710,Directorate For Geosciences,office of polar programs,2002,229,305039289
711,Directorate For Geosciences,office of polar programs,2003,203,68652778
712,Directorate For Geosciences,office of polar programs,2004,219,134721720
713,Directorate For Geosciences,office of polar programs,2005,228,280026257
714,Directorate For Geosciences,office of polar programs,2006,209,276716495
715,Directorate For Geosciences,office of polar programs,2007,315,179341018
716,Directorate For Geosciences,office of polar programs,2008,203,111589057
717,Directorate For Geosciences,office of polar programs,2009,335,162401410
718,Directorate For Geosciences,office of polar programs,2010,242,166183380
719,Directorate For Geosciences,office of polar programs,2011,256,157595893
720,Directorate For Geosciences,office of polar programs,2012,282,470502719
721,Directorate For Geosciences,office of polar programs,2013,264,151346993
722,Directorate For Geosciences,office of polar programs,2014,211,170275258
723,Directorate For Geosciences,office of polar programs,2015,248,105584719
724,Directorate For Geosciences,office of polar programs,2016,285,151942070
725,Directorate For Geosciences,office of polar programs,2017,220,212670370
726,Directorate For Geosciences,office of polar programs,2018,242,199740198
727,Directorate For Geosciences,office of polar programs,2019,171,106327471
728,Directorate For Geosciences,office of polar programs,2020,11,4550243
729,Directorate For Geosciences,office of polar programs,2021,1,1237134
730,Directorate For Mathematical & Physical Sciences,directorate for mathematical and physical sciences,1971,1,173944
731,Directorate For Mathematical & Physical Sciences,directorate for mathematical and physical sciences,1973,1,2000
732,Directorate For Mathematical & Physical Sciences,directorate for mathematical and physical sciences,1977,1,24535
733,Directorate For Mathematical & Physical Sciences,directorate for mathematical and physical sciences,1987,1,83300
734,Directorate For Mathematical & Physical Sciences,directorate for mathematical and physical sciences,1991,1,30000
735,Directorate For Mathematical & Physical Sciences,directorate for mathematical and physical sciences,1995,2,113178
736,Directorate For Mathematical & Physical Sciences,directorate for mathematical and physical sciences,1996,1,2000000
737,Directorate For Mathematical & Physical Sciences,directorate for mathematical and physical sciences,1998,6,557490
738,Directorate For Mathematical & Physical Sciences,directorate for mathematical and physical sciences,1999,2,252535
739,Directorate For Mathematical & Physical Sciences,directorate for mathematical and physical sciences,2001,1,82302
740,Directorate For Mathematical & Physical Sciences,directorate for mathematical and physical sciences,2002,2,1422289
741,Directorate For Mathematical & Physical Sciences,directorate for mathematical and physical sciences,2003,5,4451335
742,Directorate For Mathematical & Physical Sciences,directorate for mathematical and physical sciences,2004,2,3276636
743,Directorate For Mathematical & Physical Sciences,directorate for mathematical and physical sciences,2005,2,56454
744,Directorate For Mathematical & Physical Sciences,directorate for mathematical and physical sciences,2006,4,519961
745,Directorate For Mathematical & Physical Sciences,directorate for mathematical and physical sciences,2007,4,3400461
746,Directorate For Mathematical & Physical Sciences,directorate for mathematical and physical sciences,2008,2,6524116
748,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1963,2,412300
749,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1967,3,22216612
750,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1968,2,81099393
751,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1969,5,48220120
752,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1970,17,2133850
753,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1971,18,3516836
754,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1972,18,73618047
755,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1973,27,3200482
756,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1974,55,136992832
757,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1975,87,12370777
758,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1976,115,9160866
759,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1977,156,17700758
760,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1978,144,85218707
761,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1979,150,122448953
762,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1980,141,20394945
763,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1981,113,53177966
764,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1982,127,26609750
765,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1983,156,33979306
766,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1984,152,293381799
767,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1985,148,28828976
768,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1986,119,58612211
769,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1987,125,21294257
770,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1988,130,30656507
771,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1989,148,563135923
772,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1990,137,32461104
773,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1991,156,143641101
774,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1992,141,53818662
775,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1993,127,43107088
776,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1994,165,564847211
777,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1995,112,30726306
778,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1996,116,41021348
779,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1997,157,235231652
780,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1998,140,38242237
781,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,1999,141,74880008
782,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,2000,132,54699052
783,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,2001,129,954628314
784,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,2002,141,42722688
785,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,2003,134,45660481
786,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,2004,147,47566753
787,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,2005,144,107827313
788,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,2006,147,57790251
789,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,2007,165,110801065
790,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,2008,196,83810844
791,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,2009,313,935520802
792,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,2010,132,292596571
793,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,2011,71,107091789
794,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,2012,61,26150801
795,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,2013,68,27996051
796,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,2014,99,438402049
797,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,2015,112,237872370
798,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,2016,236,382816093
799,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,2017,190,173260921
800,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,2018,213,155472856
801,Directorate For Mathematical & Physical Sciences,division of astronomical sciences,2019,215,93405807
803,Directorate For Mathematical & Physical Sciences,division of chemistry,1964,1,32600
804,Directorate For Mathematical & Physical Sciences,division of chemistry,1967,4,474590
805,Directorate For Mathematical & Physical Sciences,division of chemistry,1968,3,136600
806,Directorate For Mathematical & Physical Sciences,division of chemistry,1969,19,845400
807,Directorate For Mathematical & Physical Sciences,division of chemistry,1970,51,639000
808,Directorate For Mathematical & Physical Sciences,division of chemistry,1971,51,4296635
809,Directorate For Mathematical & Physical Sciences,division of chemistry,1972,58,5363114
810,Directorate For Mathematical & Physical Sciences,division of chemistry,1973,166,11882550
811,Directorate For Mathematical & Physical Sciences,division of chemistry,1974,232,25876478
812,Directorate For Mathematical & Physical Sciences,division of chemistry,1975,254,26447180
813,Directorate For Mathematical & Physical Sciences,division of chemistry,1976,398,38323806
814,Directorate For Mathematical & Physical Sciences,division of chemistry,1977,424,41016341
815,Directorate For Mathematical & Physical Sciences,division of chemistry,1978,394,45563081
816,Directorate For Mathematical & Physical Sciences,division of chemistry,1979,394,85532087
817,Directorate For Mathematical & Physical Sciences,division of chemistry,1980,311,52773128
818,Directorate For Mathematical & Physical Sciences,division of chemistry,1981,404,71286264
819,Directorate For Mathematical & Physical Sciences,division of chemistry,1982,336,67702543
820,Directorate For Mathematical & Physical Sciences,division of chemistry,1983,355,77834064
821,Directorate For Mathematical & Physical Sciences,division of chemistry,1984,406,89541019
822,Directorate For Mathematical & Physical Sciences,division of chemistry,1985,411,99817160
823,Directorate For Mathematical & Physical Sciences,division of chemistry,1986,351,83508601
824,Directorate For Mathematical & Physical Sciences,division of chemistry,1987,433,102222432
825,Directorate For Mathematical & Physical Sciences,division of chemistry,1988,377,94796520
826,Directorate For Mathematical & Physical Sciences,division of chemistry,1989,404,94187996
827,Directorate For Mathematical & Physical Sciences,division of chemistry,1990,458,102508676
828,Directorate For Mathematical & Physical Sciences,division of chemistry,1991,473,137516751
829,Directorate For Mathematical & Physical Sciences,division of chemistry,1992,426,136039775
830,Directorate For Mathematical & Physical Sciences,division of chemistry,1993,451,128429981
831,Directorate For Mathematical & Physical Sciences,division of chemistry,1994,431,118648181
832,Directorate For Mathematical & Physical Sciences,division of chemistry,1995,443,113540002
833,Directorate For Mathematical & Physical Sciences,division of chemistry,1996,394,129067690
834,Directorate For Mathematical & Physical Sciences,division of chemistry,1997,468,121894047
835,Directorate For Mathematical & Physical Sciences,division of chemistry,1998,410,151466633
836,Directorate For Mathematical & Physical Sciences,division of chemistry,1999,395,169454940
837,Directorate For Mathematical & Physical Sciences,division of chemistry,2000,413,160916561
838,Directorate For Mathematical & Physical Sciences,division of chemistry,2001,453,189253006
839,Directorate For Mathematical & Physical Sciences,division of chemistry,2002,450,181594455
840,Directorate For Mathematical & Physical Sciences,division of chemistry,2003,501,185751537
841,Directorate For Mathematical & Physical Sciences,division of chemistry,2004,475,201124806
842,Directorate For Mathematical & Physical Sciences,division of chemistry,2005,444,187546128
843,Directorate For Mathematical & Physical Sciences,division of chemistry,2006,452,211284160
844,Directorate For Mathematical & Physical Sciences,division of chemistry,2007,451,200054456
845,Directorate For Mathematical & Physical Sciences,division of chemistry,2008,450,202985132
846,Directorate For Mathematical & Physical Sciences,division of chemistry,2009,640,319088273
847,Directorate For Mathematical & Physical Sciences,division of chemistry,2010,602,271558624
848,Directorate For Mathematical & Physical Sciences,division of chemistry,2011,459,207457987
849,Directorate For Mathematical & Physical Sciences,division of chemistry,2012,530,253683448
850,Directorate For Mathematical & Physical Sciences,division of chemistry,2013,476,238765344
851,Directorate For Mathematical & Physical Sciences,division of chemistry,2014,486,243357704
852,Directorate For Mathematical & Physical Sciences,division of chemistry,2015,546,271067673
853,Directorate For Mathematical & Physical Sciences,division of chemistry,2016,502,214309377
854,Directorate For Mathematical & Physical Sciences,division of chemistry,2017,496,223377457
855,Directorate For Mathematical & Physical Sciences,division of chemistry,2018,562,241366340
856,Directorate For Mathematical & Physical Sciences,division of chemistry,2019,498,219873267
857,Directorate For Mathematical & Physical Sciences,division of chemistry,2020,5,1437734
859,Directorate For Mathematical & Physical Sciences,division of materials research,1967,1,1667000
860,Directorate For Mathematical & Physical Sciences,division of materials research,1969,1,8770
861,Directorate For Mathematical & Physical Sciences,division of materials research,1970,6,3800
862,Directorate For Mathematical & Physical Sciences,division of materials research,1971,15,2224967
863,Directorate For Mathematical & Physical Sciences,division of materials research,1972,191,74842817
864,Directorate For Mathematical & Physical Sciences,division of materials research,1973,187,23819046
865,Directorate For Mathematical & Physical Sciences,division of materials research,1974,177,18442906
866,Directorate For Mathematical & Physical Sciences,division of materials research,1975,207,17855562
867,Directorate For Mathematical & Physical Sciences,division of materials research,1976,380,42423790
868,Directorate For Mathematical & Physical Sciences,division of materials research,1977,458,100215600
869,Directorate For Mathematical & Physical Sciences,division of materials research,1978,406,61940353
870,Directorate For Mathematical & Physical Sciences,division of materials research,1979,345,55713873
871,Directorate For Mathematical & Physical Sciences,division of materials research,1980,338,89953005
872,Directorate For Mathematical & Physical Sciences,division of materials research,1981,334,86324451
873,Directorate For Mathematical & Physical Sciences,division of materials research,1982,256,84372503
874,Directorate For Mathematical & Physical Sciences,division of materials research,1983,303,104317991
875,Directorate For Mathematical & Physical Sciences,division of materials research,1984,277,101158104
876,Directorate For Mathematical & Physical Sciences,division of materials research,1985,306,95299564
877,Directorate For Mathematical & Physical Sciences,division of materials research,1986,254,129117129
878,Directorate For Mathematical & Physical Sciences,division of materials research,1987,275,85703379
879,Directorate For Mathematical & Physical Sciences,division of materials research,1988,279,121078012
880,Directorate For Mathematical & Physical Sciences,division of materials research,1989,287,160266726
881,Directorate For Mathematical & Physical Sciences,division of materials research,1990,342,175472050
882,Directorate For Mathematical & Physical Sciences,division of materials research,1991,383,151327442
883,Directorate For Mathematical & Physical Sciences,division of materials research,1992,421,274955843
884,Directorate For Mathematical & Physical Sciences,division of materials research,1993,394,123128325
885,Directorate For Mathematical & Physical Sciences,division of materials research,1994,424,196710680
886,Directorate For Mathematical & Physical Sciences,division of materials research,1995,388,101666155
887,Directorate For Mathematical & Physical Sciences,division of materials research,1996,378,296684448
888,Directorate For Mathematical & Physical Sciences,division of materials research,1997,417,113787926
889,Directorate For Mathematical & Physical Sciences,division of materials research,1998,442,220753958
890,Directorate For Mathematical & Physical Sciences,division of materials research,1999,442,124602377
891,Directorate For Mathematical & Physical Sciences,division of materials research,2000,504,288266501
892,Directorate For Mathematical & Physical Sciences,division of materials research,2001,445,367799484
893,Directorate For Mathematical & Physical Sciences,division of materials research,2002,425,324680886
894,Directorate For Mathematical & Physical Sciences,division of materials research,2003,581,263571809
895,Directorate For Mathematical & Physical Sciences,division of materials research,2004,448,195097291
896,Directorate For Mathematical & Physical Sciences,division of materials research,2005,391,318883783
897,Directorate For Mathematical & Physical Sciences,division of materials research,2006,388,248149057
898,Directorate For Mathematical & Physical Sciences,division of materials research,2007,444,154635421
899,Directorate For Mathematical & Physical Sciences,division of materials research,2008,440,479649683
900,Directorate For Mathematical & Physical Sciences,division of materials research,2009,595,299831642
901,Directorate For Mathematical & Physical Sciences,division of materials research,2010,543,337498127
902,Directorate For Mathematical & Physical Sciences,division of materials research,2011,422,315269458
903,Directorate For Mathematical & Physical Sciences,division of materials research,2012,494,204350994
904,Directorate For Mathematical & Physical Sciences,division of materials research,2013,422,374670552
905,Directorate For Mathematical & Physical Sciences,division of materials research,2014,490,485243423
906,Directorate For Mathematical & Physical Sciences,division of materials research,2015,515,231052060
907,Directorate For Mathematical & Physical Sciences,division of materials research,2016,490,243881252
908,Directorate For Mathematical & Physical Sciences,division of materials research,2017,456,253143605
909,Directorate For Mathematical & Physical Sciences,division of materials research,2018,484,263101634
910,Directorate For Mathematical & Physical Sciences,division of materials research,2019,439,149353088
913,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,1969,5,284200
914,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,1970,28,891555
915,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,1971,86,8013400
916,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,1972,75,8707273
917,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,1973,110,5641300
918,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,1974,146,8849257
919,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,1975,350,15777922
920,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,1976,584,23313718
921,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,1977,492,23908071
922,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,1978,543,25951002
923,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,1979,529,25957401
924,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,1980,487,24157336
925,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,1981,512,45558512
926,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,1982,415,28483645
927,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,1983,476,31161895
928,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,1984,483,36765240
929,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,1985,574,49047733
930,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,1986,631,59419900
931,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,1987,613,61070440
932,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,1988,598,57797507
933,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,1989,608,59958902
934,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,1990,552,68223564
935,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,1991,654,58586198
936,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,1992,636,79985829
937,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,1993,538,58739781
938,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,1994,611,59329581
939,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,1995,572,83608029
940,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,1996,563,50899135
941,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,1997,591,71302956
942,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,1998,547,66410328
943,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,1999,553,83475209
944,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,2000,764,140110354
945,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,2001,727,121816965
946,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,2002,876,189012518
947,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,2003,748,149531716
948,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,2004,659,131849879
949,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,2005,831,217592492
950,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,2006,927,193299669
951,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,2007,1040,250977450
952,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,2008,992,216667370
953,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,2009,1168,270614431
954,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,2010,1010,326599998
955,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,2011,1033,217055920
956,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,2012,1027,272184459
957,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,2013,862,191265529
958,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,2014,458,120267435
959,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,2015,559,211331956
960,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,2016,711,163069663
961,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,2017,771,175329938
962,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,2018,939,163014832
963,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,2019,835,143914788
964,Directorate For Mathematical & Physical Sciences,division of mathematical sciences,2020,1,150000
967,Directorate For Mathematical & Physical Sciences,division of physics,1966,1,240000
968,Directorate For Mathematical & Physical Sciences,division of physics,1967,1,60317912
969,Directorate For Mathematical & Physical Sciences,division of physics,1969,2,1802400
970,Directorate For Mathematical & Physical Sciences,division of physics,1970,23,3297600
971,Directorate For Mathematical & Physical Sciences,division of physics,1971,31,22012712
972,Directorate For Mathematical & Physical Sciences,division of physics,1972,28,14669620
973,Directorate For Mathematical & Physical Sciences,division of physics,1973,46,20360845
974,Directorate For Mathematical & Physical Sciences,division of physics,1974,86,14989515
975,Directorate For Mathematical & Physical Sciences,division of physics,1975,112,32806785
976,Directorate For Mathematical & Physical Sciences,division of physics,1976,190,32971712
977,Directorate For Mathematical & Physical Sciences,division of physics,1977,271,62928769
978,Directorate For Mathematical & Physical Sciences,division of physics,1978,229,67456491
979,Directorate For Mathematical & Physical Sciences,division of physics,1979,181,61819663
980,Directorate For Mathematical & Physical Sciences,division of physics,1980,167,95127093
981,Directorate For Mathematical & Physical Sciences,division of physics,1981,177,97258801
982,Directorate For Mathematical & Physical Sciences,division of physics,1982,161,76003739
983,Directorate For Mathematical & Physical Sciences,division of physics,1983,209,108933822
984,Directorate For Mathematical & Physical Sciences,division of physics,1984,221,148221546
985,Directorate For Mathematical & Physical Sciences,division of physics,1985,221,85760659
986,Directorate For Mathematical & Physical Sciences,division of physics,1986,227,136324398
987,Directorate For Mathematical & Physical Sciences,division of physics,1987,218,138558961
988,Directorate For Mathematical & Physical Sciences,division of physics,1988,196,71070565
989,Directorate For Mathematical & Physical Sciences,division of physics,1989,274,108778500
990,Directorate For Mathematical & Physical Sciences,division of physics,1990,265,184131953
991,Directorate For Mathematical & Physical Sciences,division of physics,1991,243,89547258
992,Directorate For Mathematical & Physical Sciences,division of physics,1992,244,478863699
993,Directorate For Mathematical & Physical Sciences,division of physics,1993,176,194581671
994,Directorate For Mathematical & Physical Sciences,division of physics,1994,199,112659857
995,Directorate For Mathematical & Physical Sciences,division of physics,1995,206,105442383
996,Directorate For Mathematical & Physical Sciences,division of physics,1996,184,145701925
