id,direct_fixed,eff_year,award_id,total_funding
"('Directorate for Education & Human Resources', 1992)",Directorate for Education & Human Resources,1992,1835,825638090
"('Directorate for Education & Human Resources', 1993)",Directorate for Education & Human Resources,1993,1584,403339185
"('Directorate for Education & Human Resources', 1994)",Directorate for Education & Human Resources,1994,1541,594034406
"('Directorate for Education & Human Resources', 1995)",Directorate for Education & Human Resources,1995,1512,625643488
"('Directorate for Education & Human Resources', 1996)",Directorate for Education & Human Resources,1996,1482,677103541
"('Directorate for Education & Human Resources', 1997)",Directorate for Education & Human Resources,1997,1284,467694460
"('Directorate for Education & Human Resources', 1998)",Directorate for Education & Human Resources,1998,1291,505972883
"('Directorate for Education & Human Resources', 1999)",Directorate for Education & Human Resources,1999,871,559724143
"('Directorate for Education & Human Resources', 2000)",Directorate for Education & Human Resources,2000,977,628467553
"('Directorate for Education & Human Resources', 2001)",Directorate for Education & Human Resources,2001,1146,1135500082
"('Directorate for Education & Human Resources', 2002)",Directorate for Education & Human Resources,2002,1136,937864290
"('Directorate for Education & Human Resources', 2003)",Directorate for Education & Human Resources,2003,981,1049559909
"('Directorate for Education & Human Resources', 2004)",Directorate for Education & Human Resources,2004,961,840113708
"('Directorate for Education & Human Resources', 2005)",Directorate for Education & Human Resources,2005,799,614173769
"('Directorate for Education & Human Resources', 2006)",Directorate for Education & Human Resources,2006,836,974251546
"('Directorate for Education & Human Resources', 2007)",Directorate for Education & Human Resources,2007,1016,836809783
"('Directorate for Education & Human Resources', 2008)",Directorate for Education & Human Resources,2008,1110,971999197
"('Directorate for Education & Human Resources', 2009)",Directorate for Education & Human Resources,2009,1276,1066713318
"('Directorate for Education & Human Resources', 2010)",Directorate for Education & Human Resources,2010,1149,1113204108
"('Directorate for Education & Human Resources', 2011)",Directorate for Education & Human Resources,2011,988,1407008909
"('Directorate for Education & Human Resources', 2012)",Directorate for Education & Human Resources,2012,1028,1043434428
"('Directorate for Education & Human Resources', 2013)",Directorate for Education & Human Resources,2013,929,862086236
"('Directorate for Education & Human Resources', 2014)",Directorate for Education & Human Resources,2014,897,802193521
"('Directorate for Education & Human Resources', 2015)",Directorate for Education & Human Resources,2015,1043,771325670
"('Directorate for Education & Human Resources', 2016)",Directorate for Education & Human Resources,2016,1152,1272413144
"('Directorate for Education & Human Resources', 2017)",Directorate for Education & Human Resources,2017,1096,1079359205
"('Directorate for Education & Human Resources', 2018)",Directorate for Education & Human Resources,2018,1153,1017688008
"('Directorate for Education & Human Resources', 2019)",Directorate for Education & Human Resources,2019,1006,735723119
"('Directorate for Social, Behavioral & Economic Sciences', 1964)","Directorate for Social, Behavioral & Economic Sciences",1964,1,233849
"('Directorate for Social, Behavioral & Economic Sciences', 1967)","Directorate for Social, Behavioral & Economic Sciences",1967,2,2853115
"('Directorate for Social, Behavioral & Economic Sciences', 1969)","Directorate for Social, Behavioral & Economic Sciences",1969,7,972900
"('Directorate for Social, Behavioral & Economic Sciences', 1970)","Directorate for Social, Behavioral & Economic Sciences",1970,9,999736
"('Directorate for Social, Behavioral & Economic Sciences', 1971)","Directorate for Social, Behavioral & Economic Sciences",1971,25,2932400
"('Directorate for Social, Behavioral & Economic Sciences', 1972)","Directorate for Social, Behavioral & Economic Sciences",1972,49,4336985
"('Directorate for Social, Behavioral & Economic Sciences', 1973)","Directorate for Social, Behavioral & Economic Sciences",1973,90,10280481
"('Directorate for Social, Behavioral & Economic Sciences', 1974)","Directorate for Social, Behavioral & Economic Sciences",1974,202,19239375
"('Directorate for Social, Behavioral & Economic Sciences', 1975)","Directorate for Social, Behavioral & Economic Sciences",1975,289,16498913
"('Directorate for Social, Behavioral & Economic Sciences', 1976)","Directorate for Social, Behavioral & Economic Sciences",1976,421,29286457
"('Directorate for Social, Behavioral & Economic Sciences', 1977)","Directorate for Social, Behavioral & Economic Sciences",1977,463,40444153
"('Directorate for Social, Behavioral & Economic Sciences', 1978)","Directorate for Social, Behavioral & Economic Sciences",1978,510,41891887
"('Directorate for Social, Behavioral & Economic Sciences', 1979)","Directorate for Social, Behavioral & Economic Sciences",1979,537,37917678
"('Directorate for Social, Behavioral & Economic Sciences', 1980)","Directorate for Social, Behavioral & Economic Sciences",1980,526,41932965
"('Directorate for Social, Behavioral & Economic Sciences', 1981)","Directorate for Social, Behavioral & Economic Sciences",1981,412,33043808
"('Directorate for Social, Behavioral & Economic Sciences', 1982)","Directorate for Social, Behavioral & Economic Sciences",1982,424,32197348
"('Directorate for Social, Behavioral & Economic Sciences', 1983)","Directorate for Social, Behavioral & Economic Sciences",1983,545,34257431
"('Directorate for Social, Behavioral & Economic Sciences', 1984)","Directorate for Social, Behavioral & Economic Sciences",1984,590,57427376
"('Directorate for Social, Behavioral & Economic Sciences', 1985)","Directorate for Social, Behavioral & Economic Sciences",1985,592,47842256
"('Directorate for Social, Behavioral & Economic Sciences', 1986)","Directorate for Social, Behavioral & Economic Sciences",1986,566,61635190
"('Directorate for Social, Behavioral & Economic Sciences', 1987)","Directorate for Social, Behavioral & Economic Sciences",1987,578,54828026
"('Directorate for Social, Behavioral & Economic Sciences', 1988)","Directorate for Social, Behavioral & Economic Sciences",1988,530,58049357
"('Directorate for Social, Behavioral & Economic Sciences', 1989)","Directorate for Social, Behavioral & Economic Sciences",1989,610,53873091
"('Directorate for Social, Behavioral & Economic Sciences', 1990)","Directorate for Social, Behavioral & Economic Sciences",1990,663,53829347
"('Directorate for Social, Behavioral & Economic Sciences', 1991)","Directorate for Social, Behavioral & Economic Sciences",1991,682,105355496
"('Directorate for Social, Behavioral & Economic Sciences', 1992)","Directorate for Social, Behavioral & Economic Sciences",1992,850,103997549
"('Directorate for Social, Behavioral & Economic Sciences', 1993)","Directorate for Social, Behavioral & Economic Sciences",1993,739,78851770
"('Directorate for Social, Behavioral & Economic Sciences', 1994)","Directorate for Social, Behavioral & Economic Sciences",1994,738,86922424
"('Directorate for Social, Behavioral & Economic Sciences', 1995)","Directorate for Social, Behavioral & Economic Sciences",1995,797,92078936
"('Directorate for Social, Behavioral & Economic Sciences', 1996)","Directorate for Social, Behavioral & Economic Sciences",1996,730,132581346
"('Directorate for Social, Behavioral & Economic Sciences', 1997)","Directorate for Social, Behavioral & Economic Sciences",1997,833,128987938
"('Directorate for Social, Behavioral & Economic Sciences', 1998)","Directorate for Social, Behavioral & Economic Sciences",1998,952,104712849
"('Directorate for Social, Behavioral & Economic Sciences', 1999)","Directorate for Social, Behavioral & Economic Sciences",1999,904,123217084
"('Directorate for Social, Behavioral & Economic Sciences', 2000)","Directorate for Social, Behavioral & Economic Sciences",2000,953,118903729
"('Directorate for Social, Behavioral & Economic Sciences', 2001)","Directorate for Social, Behavioral & Economic Sciences",2001,1000,210719486
"('Directorate for Social, Behavioral & Economic Sciences', 2002)","Directorate for Social, Behavioral & Economic Sciences",2002,973,198887922
"('Directorate for Social, Behavioral & Economic Sciences', 2003)","Directorate for Social, Behavioral & Economic Sciences",2003,919,135907140
"('Directorate for Social, Behavioral & Economic Sciences', 2004)","Directorate for Social, Behavioral & Economic Sciences",2004,980,251008387
"('Directorate for Social, Behavioral & Economic Sciences', 2005)","Directorate for Social, Behavioral & Economic Sciences",2005,1064,202933009
"('Directorate for Social, Behavioral & Economic Sciences', 2006)","Directorate for Social, Behavioral & Economic Sciences",2006,1159,245096661
"('Directorate for Social, Behavioral & Economic Sciences', 2007)","Directorate for Social, Behavioral & Economic Sciences",2007,1197,261285275
"('Directorate for Social, Behavioral & Economic Sciences', 2008)","Directorate for Social, Behavioral & Economic Sciences",2008,1170,230902319
"('Directorate for Social, Behavioral & Economic Sciences', 2009)","Directorate for Social, Behavioral & Economic Sciences",2009,1399,273733990
"('Directorate for Social, Behavioral & Economic Sciences', 2010)","Directorate for Social, Behavioral & Economic Sciences",2010,1314,368226674
"('Directorate for Social, Behavioral & Economic Sciences', 2011)","Directorate for Social, Behavioral & Economic Sciences",2011,1047,247692742
"('Directorate for Social, Behavioral & Economic Sciences', 2012)","Directorate for Social, Behavioral & Economic Sciences",2012,1058,208974487
"('Directorate for Social, Behavioral & Economic Sciences', 2013)","Directorate for Social, Behavioral & Economic Sciences",2013,973,192589125
"('Directorate for Social, Behavioral & Economic Sciences', 2014)","Directorate for Social, Behavioral & Economic Sciences",2014,1054,240061634
"('Directorate for Social, Behavioral & Economic Sciences', 2015)","Directorate for Social, Behavioral & Economic Sciences",2015,1099,269043186
"('Directorate for Social, Behavioral & Economic Sciences', 2016)","Directorate for Social, Behavioral & Economic Sciences",2016,1043,234053852
"('Directorate for Social, Behavioral & Economic Sciences', 2017)","Directorate for Social, Behavioral & Economic Sciences",2017,1092,249616996
"('Directorate for Social, Behavioral & Economic Sciences', 2018)","Directorate for Social, Behavioral & Economic Sciences",2018,983,226273665
"('Directorate for Social, Behavioral & Economic Sciences', 2019)","Directorate for Social, Behavioral & Economic Sciences",2019,852,194787296
"('National Coordination Office', 1996)",National Coordination Office,1996,1,760000
"('National Coordination Office', 1997)",National Coordination Office,1997,2,1114249
"('National Coordination Office', 1998)",National Coordination Office,1998,2,1863656
"('National Coordination Office', 1999)",National Coordination Office,1999,1,460943
"('National Coordination Office', 2000)",National Coordination Office,2000,1,4750000
"('National Coordination Office', 2001)",National Coordination Office,2001,1,452928
"('National Coordination Office', 2003)",National Coordination Office,2003,1,6000000
"('National Coordination Office', 2005)",National Coordination Office,2005,2,22105218
"('National Coordination Office', 2007)",National Coordination Office,2007,1,836852
"('National Coordination Office', 2008)",National Coordination Office,2008,1,919100
"('National Coordination Office', 2009)",National Coordination Office,2009,1,2640
"('National Coordination Office', 2014)",National Coordination Office,2014,1,283787
"('National Coordination Office', 2018)",National Coordination Office,2018,1,917307
"('National Coordination Office', 2019)",National Coordination Office,2019,1,5500
"('Natl Nanotechnology Coordinating Office', 2007)",Natl Nanotechnology Coordinating Office,2007,1,350000
"('Natl Nanotechnology Coordinating Office', 2015)",Natl Nanotechnology Coordinating Office,2015,1,444411
"('Natl Nanotechnology Coordinating Office', 2017)",Natl Nanotechnology Coordinating Office,2017,1,0
"('Natl Nanotechnology Coordinating Office', 2018)",Natl Nanotechnology Coordinating Office,2018,1,654480
"('Natl Nanotechnology Coordinating Office', 2019)",Natl Nanotechnology Coordinating Office,2019,1,9000
"('Office Of Polar Programs', 2013)",Office Of Polar Programs,2013,2,35261
"('Office Of Polar Programs', 2014)",Office Of Polar Programs,2014,1,37863
"('Office Of The Director', 1960)",Office Of The Director,1960,1,4012090
"('Office Of The Director', 1961)",Office Of The Director,1961,1,78000
"('Office Of The Director', 1962)",Office Of The Director,1962,1,90000
"('Office Of The Director', 1965)",Office Of The Director,1965,2,8320
"('Office Of The Director', 1966)",Office Of The Director,1966,1,6600000
"('Office Of The Director', 1967)",Office Of The Director,1967,7,19621649
"('Office Of The Director', 1968)",Office Of The Director,1968,2,11987000
"('Office Of The Director', 1969)",Office Of The Director,1969,6,6826052
"('Office Of The Director', 1970)",Office Of The Director,1970,14,4975547
"('Office Of The Director', 1971)",Office Of The Director,1971,23,9182261
"('Office Of The Director', 1972)",Office Of The Director,1972,57,20639761
"('Office Of The Director', 1973)",Office Of The Director,1973,73,24490353
"('Office Of The Director', 1974)",Office Of The Director,1974,148,13890183
"('Office Of The Director', 1975)",Office Of The Director,1975,202,18048396
"('Office Of The Director', 1976)",Office Of The Director,1976,413,16668012
"('Office Of The Director', 1977)",Office Of The Director,1977,468,31067015
"('Office Of The Director', 1978)",Office Of The Director,1978,433,28466921
"('Office Of The Director', 1979)",Office Of The Director,1979,568,41984147
"('Office Of The Director', 1980)",Office Of The Director,1980,834,43467114
"('Office Of The Director', 1981)",Office Of The Director,1981,701,31774788
"('Office Of The Director', 1982)",Office Of The Director,1982,696,36581616
"('Office Of The Director', 1983)",Office Of The Director,1983,634,39683356
"('Office Of The Director', 1984)",Office Of The Director,1984,797,42181635
"('Office Of The Director', 1985)",Office Of The Director,1985,807,38379305
"('Office Of The Director', 1986)",Office Of The Director,1986,747,48949594
"('Office Of The Director', 1987)",Office Of The Director,1987,671,32842900
"('Office Of The Director', 1988)",Office Of The Director,1988,686,57770218
"('Office Of The Director', 1989)",Office Of The Director,1989,821,46540383
"('Office Of The Director', 1990)",Office Of The Director,1990,781,54937065
"('Office Of The Director', 1991)",Office Of The Director,1991,779,62057253
"('Office Of The Director', 1992)",Office Of The Director,1992,843,49630959
"('Office Of The Director', 1993)",Office Of The Director,1993,615,246068249
"('Office Of The Director', 1994)",Office Of The Director,1994,597,54715176
"('Office Of The Director', 1995)",Office Of The Director,1995,542,284487624
"('Office Of The Director', 1996)",Office Of The Director,1996,479,28235122
"('Office Of The Director', 1997)",Office Of The Director,1997,462,32298644
"('Office Of The Director', 1998)",Office Of The Director,1998,444,78252029
"('Office Of The Director', 1999)",Office Of The Director,1999,415,41855597
"('Office Of The Director', 2000)",Office Of The Director,2000,377,33554229
"('Office Of The Director', 2001)",Office Of The Director,2001,378,77339240
"('Office Of The Director', 2002)",Office Of The Director,2002,357,78979282
"('Office Of The Director', 2003)",Office Of The Director,2003,448,75867239
"('Office Of The Director', 2004)",Office Of The Director,2004,428,50250372
"('Office Of The Director', 2005)",Office Of The Director,2005,347,92098777
"('Office Of The Director', 2006)",Office Of The Director,2006,326,47877304
"('Office Of The Director', 2007)",Office Of The Director,2007,363,131435957
"('Office Of The Director', 2008)",Office Of The Director,2008,183,147868450
"('Office Of The Director', 2009)",Office Of The Director,2009,402,130853261
"('Office Of The Director', 2010)",Office Of The Director,2010,252,226274201
"('Office Of The Director', 2011)",Office Of The Director,2011,145,90694536
"('Office Of The Director', 2012)",Office Of The Director,2012,109,60039887
"('Office Of The Director', 2013)",Office Of The Director,2013,78,164957240
"('Office Of The Director', 2014)",Office Of The Director,2014,106,200656563
"('Office Of The Director', 2015)",Office Of The Director,2015,86,161724102
"('Office Of The Director', 2016)",Office Of The Director,2016,82,137767604
"('Office Of The Director', 2017)",Office Of The Director,2017,93,150727667
"('Office Of The Director', 2018)",Office Of The Director,2018,95,117364336
"('Office Of The Director', 2019)",Office Of The Director,2019,99,89513000
"('Office of Budget, Finance, & Award Management', 1965)","Office of Budget, Finance, & Award Management",1965,3,7265430
"('Office of Budget, Finance, & Award Management', 1967)","Office of Budget, Finance, & Award Management",1967,9,1131105
"('Office of Budget, Finance, & Award Management', 1968)","Office of Budget, Finance, & Award Management",1968,65,2675325
"('Office of Budget, Finance, & Award Management', 1969)","Office of Budget, Finance, & Award Management",1969,33,965684
"('Office of Budget, Finance, & Award Management', 1970)","Office of Budget, Finance, & Award Management",1970,35,247060
"('Office of Budget, Finance, & Award Management', 1971)","Office of Budget, Finance, & Award Management",1971,27,241702
"('Office of Budget, Finance, & Award Management', 1972)","Office of Budget, Finance, & Award Management",1972,3,26662
"('Office of Budget, Finance, & Award Management', 1973)","Office of Budget, Finance, & Award Management",1973,21,87141
"('Office of Budget, Finance, & Award Management', 1976)","Office of Budget, Finance, & Award Management",1976,2,66685
"('Office of Budget, Finance, & Award Management', 1978)","Office of Budget, Finance, & Award Management",1978,1,114000
"('Office of Budget, Finance, & Award Management', 1980)","Office of Budget, Finance, & Award Management",1980,5,233038
"('Office of Budget, Finance, & Award Management', 1981)","Office of Budget, Finance, & Award Management",1981,1,4671
"('Office of Budget, Finance, & Award Management', 1982)","Office of Budget, Finance, & Award Management",1982,1,16000
"('Office of Budget, Finance, & Award Management', 1988)","Office of Budget, Finance, & Award Management",1988,1,49819
"('Office of Budget, Finance, & Award Management', 1994)","Office of Budget, Finance, & Award Management",1994,1,11800
"('Office of Budget, Finance, & Award Management', 1995)","Office of Budget, Finance, & Award Management",1995,1,13700
"('Office of Budget, Finance, & Award Management', 1996)","Office of Budget, Finance, & Award Management",1996,1,12900
"('Office of Budget, Finance, & Award Management', 1997)","Office of Budget, Finance, & Award Management",1997,1,13184
"('Office of Budget, Finance, & Award Management', 1998)","Office of Budget, Finance, & Award Management",1998,1,11776
"('Office of Budget, Finance, & Award Management', 1999)","Office of Budget, Finance, & Award Management",1999,2,63816
"('Office of Budget, Finance, & Award Management', 2000)","Office of Budget, Finance, & Award Management",2000,2,44816
"('Office of Budget, Finance, & Award Management', 2001)","Office of Budget, Finance, & Award Management",2001,1,17768
"('Office of Budget, Finance, & Award Management', 2002)","Office of Budget, Finance, & Award Management",2002,3,22456
"('Office of Budget, Finance, & Award Management', 2003)","Office of Budget, Finance, & Award Management",2003,2,17352
"('Office of Budget, Finance, & Award Management', 2004)","Office of Budget, Finance, & Award Management",2004,1,17416
"('Office of Budget, Finance, & Award Management', 2005)","Office of Budget, Finance, & Award Management",2005,7,854377
"('Office of Budget, Finance, & Award Management', 2006)","Office of Budget, Finance, & Award Management",2006,6,1402511
"('Office of Budget, Finance, & Award Management', 2007)","Office of Budget, Finance, & Award Management",2007,7,842485
"('Office of Budget, Finance, & Award Management', 2008)","Office of Budget, Finance, & Award Management",2008,10,980514
"('Office of Budget, Finance, & Award Management', 2009)","Office of Budget, Finance, & Award Management",2009,10,1863430
"('Office of Budget, Finance, & Award Management', 2010)","Office of Budget, Finance, & Award Management",2010,12,3350885
"('Office of Budget, Finance, & Award Management', 2011)","Office of Budget, Finance, & Award Management",2011,5,559879
"('Office of Budget, Finance, & Award Management', 2012)","Office of Budget, Finance, & Award Management",2012,5,1317168
"('Office of Budget, Finance, & Award Management', 2013)","Office of Budget, Finance, & Award Management",2013,4,946559
"('Office of Budget, Finance, & Award Management', 2014)","Office of Budget, Finance, & Award Management",2014,6,3014470
"('Office of Budget, Finance, & Award Management', 2015)","Office of Budget, Finance, & Award Management",2015,4,845886
"('Office of Budget, Finance, & Award Management', 2016)","Office of Budget, Finance, & Award Management",2016,8,1148155
"('Office of Budget, Finance, & Award Management', 2017)","Office of Budget, Finance, & Award Management",2017,8,880410
"('Office of Budget, Finance, & Award Management', 2018)","Office of Budget, Finance, & Award Management",2018,11,2328929
"('Office of Budget, Finance, & Award Management', 2019)","Office of Budget, Finance, & Award Management",2019,11,2541899
"('Office of Information & Resource Management', 1970)",Office of Information & Resource Management,1970,1,2500
"('Office of Information & Resource Management', 1971)",Office of Information & Resource Management,1971,1,178501
"('Office of Information & Resource Management', 1979)",Office of Information & Resource Management,1979,1,29580
"('Office of Information & Resource Management', 1980)",Office of Information & Resource Management,1980,2,41097
"('Office of Information & Resource Management', 1981)",Office of Information & Resource Management,1981,2,95001
"('Office of Information & Resource Management', 1982)",Office of Information & Resource Management,1982,1,175536
"('Office of Information & Resource Management', 1985)",Office of Information & Resource Management,1985,1,6093
"('Office of Information & Resource Management', 1990)",Office of Information & Resource Management,1990,2,5000
"('Office of Information & Resource Management', 1991)",Office of Information & Resource Management,1991,2,10000
"('Office of Information & Resource Management', 1992)",Office of Information & Resource Management,1992,1,5000
"('Office of Information & Resource Management', 1993)",Office of Information & Resource Management,1993,2,27700
"('Office of Information & Resource Management', 1994)",Office of Information & Resource Management,1994,5,1279107
"('Office of Information & Resource Management', 1996)",Office of Information & Resource Management,1996,2,185992
"('Office of Information & Resource Management', 1997)",Office of Information & Resource Management,1997,1,37500
"('Office of Information & Resource Management', 1998)",Office of Information & Resource Management,1998,5,1330247
"('Office of Information & Resource Management', 1999)",Office of Information & Resource Management,1999,4,1857236
"('Office of Information & Resource Management', 2000)",Office of Information & Resource Management,2000,5,1099916
"('Office of Information & Resource Management', 2001)",Office of Information & Resource Management,2001,4,2108483
"('Office of Information & Resource Management', 2002)",Office of Information & Resource Management,2002,2,54975
"('Office of Information & Resource Management', 2003)",Office of Information & Resource Management,2003,9,4183949
"('Office of Information & Resource Management', 2004)",Office of Information & Resource Management,2004,6,2488144
"('Office of Information & Resource Management', 2005)",Office of Information & Resource Management,2005,16,563726
"('Office of Information & Resource Management', 2006)",Office of Information & Resource Management,2006,10,1763218
"('Office of Information & Resource Management', 2007)",Office of Information & Resource Management,2007,7,15374094
"('Office of Information & Resource Management', 2008)",Office of Information & Resource Management,2008,4,177640
"('Office of Information & Resource Management', 2009)",Office of Information & Resource Management,2009,5,793080
"('Office of Information & Resource Management', 2010)",Office of Information & Resource Management,2010,5,219356
"('Office of Information & Resource Management', 2011)",Office of Information & Resource Management,2011,2,3519976
"('Office of Information & Resource Management', 2012)",Office of Information & Resource Management,2012,2,19593
"('Office of Information & Resource Management', 2013)",Office of Information & Resource Management,2013,3,4564254
"('Office of Information & Resource Management', 2014)",Office of Information & Resource Management,2014,4,172309
"('Office of Information & Resource Management', 2015)",Office of Information & Resource Management,2015,4,8099895
"('Office of Information & Resource Management', 2016)",Office of Information & Resource Management,2016,2,62010
"('Office of Information & Resource Management', 2017)",Office of Information & Resource Management,2017,4,2860710
"('Office of Information & Resource Management', 2018)",Office of Information & Resource Management,2018,7,37911384
"('Office of Information & Resource Management', 2019)",Office of Information & Resource Management,2019,9,875012
