id,direct_fixed,eff_year,award_id,total_funding
"('Directorate For Geosciences', 1984)",Directorate For Geosciences,1984,1151,659291153
"('Directorate For Geosciences', 1985)",Directorate For Geosciences,1985,1116,225220737
"('Directorate For Geosciences', 1986)",Directorate For Geosciences,1986,976,156197696
"('Directorate For Geosciences', 1987)",Directorate For Geosciences,1987,1162,736393240
"('Directorate For Geosciences', 1988)",Directorate For Geosciences,1988,1075,189422065
"('Directorate For Geosciences', 1989)",Directorate For Geosciences,1989,1077,1084625427
"('Directorate For Geosciences', 1990)",Directorate For Geosciences,1990,1301,327786273
"('Directorate For Geosciences', 1991)",Directorate For Geosciences,1991,1555,490476589
"('Directorate For Geosciences', 1992)",Directorate For Geosciences,1992,1455,268413098
"('Directorate For Geosciences', 1993)",Directorate For Geosciences,1993,1363,868422262
"('Directorate For Geosciences', 1994)",Directorate For Geosciences,1994,1505,522293317
"('Directorate For Geosciences', 1995)",Directorate For Geosciences,1995,1294,264103304
"('Directorate For Geosciences', 1996)",Directorate For Geosciences,1996,1474,412922980
"('Directorate For Geosciences', 1997)",Directorate For Geosciences,1997,1624,1281584019
"('Directorate For Geosciences', 1998)",Directorate For Geosciences,1998,1469,805458511
"('Directorate For Geosciences', 1999)",Directorate For Geosciences,1999,1607,2404589002
"('Directorate For Geosciences', 2000)",Directorate For Geosciences,2000,1739,1359356130
"('Directorate For Geosciences', 2001)",Directorate For Geosciences,2001,1669,684682520
"('Directorate For Geosciences', 2002)",Directorate For Geosciences,2002,1809,1071927805
"('Directorate For Geosciences', 2003)",Directorate For Geosciences,2003,1830,2125225324
"('Directorate For Geosciences', 2004)",Directorate For Geosciences,2004,1756,960396990
"('Directorate For Geosciences', 2005)",Directorate For Geosciences,2005,1702,1154542173
"('Directorate For Geosciences', 2006)",Directorate For Geosciences,2006,1723,924494844
"('Directorate For Geosciences', 2007)",Directorate For Geosciences,2007,1745,750654030
"('Directorate For Geosciences', 2008)",Directorate For Geosciences,2008,1682,1956443800
"('Directorate For Geosciences', 2009)",Directorate For Geosciences,2009,2206,1518170480
"('Directorate For Geosciences', 2010)",Directorate For Geosciences,2010,2064,1328955475
"('Directorate For Geosciences', 2011)",Directorate For Geosciences,2011,1750,834763521
"('Directorate For Geosciences', 2012)",Directorate For Geosciences,2012,1719,1460131882
"('Directorate For Geosciences', 2013)",Directorate For Geosciences,2013,1624,984413845
"('Directorate For Geosciences', 2014)",Directorate For Geosciences,2014,1528,1046157032
"('Directorate For Geosciences', 2015)",Directorate For Geosciences,2015,1621,634362240
"('Directorate For Geosciences', 2016)",Directorate For Geosciences,2016,1611,656087288
"('Directorate For Geosciences', 2017)",Directorate For Geosciences,2017,1535,993337646
"('Directorate For Geosciences', 2018)",Directorate For Geosciences,2018,1493,1000413775
"('Directorate For Geosciences', 2019)",Directorate For Geosciences,2019,1440,525295789
"('Directorate For Mathematical & Physical Sciences', 1963)",Directorate For Mathematical & Physical Sciences,1963,2,412300
"('Directorate For Mathematical & Physical Sciences', 1964)",Directorate For Mathematical & Physical Sciences,1964,1,32600
"('Directorate For Mathematical & Physical Sciences', 1966)",Directorate For Mathematical & Physical Sciences,1966,1,240000
"('Directorate For Mathematical & Physical Sciences', 1967)",Directorate For Mathematical & Physical Sciences,1967,11,84777114
"('Directorate For Mathematical & Physical Sciences', 1968)",Directorate For Mathematical & Physical Sciences,1968,5,81235993
"('Directorate For Mathematical & Physical Sciences', 1969)",Directorate For Mathematical & Physical Sciences,1969,33,51171890
"('Directorate For Mathematical & Physical Sciences', 1970)",Directorate For Mathematical & Physical Sciences,1970,128,7110705
"('Directorate For Mathematical & Physical Sciences', 1971)",Directorate For Mathematical & Physical Sciences,1971,211,41148844
"('Directorate For Mathematical & Physical Sciences', 1972)",Directorate For Mathematical & Physical Sciences,1972,387,178214161
"('Directorate For Mathematical & Physical Sciences', 1973)",Directorate For Mathematical & Physical Sciences,1973,553,66138723
"('Directorate For Mathematical & Physical Sciences', 1974)",Directorate For Mathematical & Physical Sciences,1974,772,209698734
"('Directorate For Mathematical & Physical Sciences', 1975)",Directorate For Mathematical & Physical Sciences,1975,1134,112705778
"('Directorate For Mathematical & Physical Sciences', 1976)",Directorate For Mathematical & Physical Sciences,1976,1765,151757678
"('Directorate For Mathematical & Physical Sciences', 1977)",Directorate For Mathematical & Physical Sciences,1977,1927,254452127
"('Directorate For Mathematical & Physical Sciences', 1978)",Directorate For Mathematical & Physical Sciences,1978,1825,291917005
"('Directorate For Mathematical & Physical Sciences', 1979)",Directorate For Mathematical & Physical Sciences,1979,1614,354812370
"('Directorate For Mathematical & Physical Sciences', 1980)",Directorate For Mathematical & Physical Sciences,1980,1444,282405507
"('Directorate For Mathematical & Physical Sciences', 1981)",Directorate For Mathematical & Physical Sciences,1981,1540,353605994
"('Directorate For Mathematical & Physical Sciences', 1982)",Directorate For Mathematical & Physical Sciences,1982,1295,283172180
"('Directorate For Mathematical & Physical Sciences', 1983)",Directorate For Mathematical & Physical Sciences,1983,1499,356227078
"('Directorate For Mathematical & Physical Sciences', 1984)",Directorate For Mathematical & Physical Sciences,1984,1539,669067708
"('Directorate For Mathematical & Physical Sciences', 1985)",Directorate For Mathematical & Physical Sciences,1985,1660,358754092
"('Directorate For Mathematical & Physical Sciences', 1986)",Directorate For Mathematical & Physical Sciences,1986,1582,466982239
"('Directorate For Mathematical & Physical Sciences', 1987)",Directorate For Mathematical & Physical Sciences,1987,1665,408932769
"('Directorate For Mathematical & Physical Sciences', 1988)",Directorate For Mathematical & Physical Sciences,1988,1580,375399111
"('Directorate For Mathematical & Physical Sciences', 1989)",Directorate For Mathematical & Physical Sciences,1989,1721,986328047
"('Directorate For Mathematical & Physical Sciences', 1990)",Directorate For Mathematical & Physical Sciences,1990,1754,562797347
"('Directorate For Mathematical & Physical Sciences', 1991)",Directorate For Mathematical & Physical Sciences,1991,1910,580648750
