,division_fixed,eff_year,award_id,total_funding
1744,division of undergraduate education,1990,716,29501924
1745,division of undergraduate education,1991,1018,62650253
1746,division of undergraduate education,1992,1030,62912106
1747,division of undergraduate education,1993,966,64432919
1748,division of undergraduate education,1994,845,89297100
1749,division of undergraduate education,1995,952,122055712
1750,division of undergraduate education,1996,950,97895340
1751,division of undergraduate education,1997,910,94882959
1752,division of undergraduate education,1998,852,86811833
1753,division of undergraduate education,1999,424,96291565
1754,division of undergraduate education,2000,579,149512483
1755,division of undergraduate education,2001,631,194295810
1756,division of undergraduate education,2002,667,191928577
1757,division of undergraduate education,2003,562,222052285
1758,division of undergraduate education,2004,544,216580302
1759,division of undergraduate education,2005,423,155909979
1760,division of undergraduate education,2006,386,166409857
1761,division of undergraduate education,2007,576,268996338
1762,division of undergraduate education,2008,658,297487507
1763,division of undergraduate education,2009,729,340687736
1764,division of undergraduate education,2010,634,294500581
1765,division of undergraduate education,2011,521,297076599
1766,division of undergraduate education,2012,557,275181576
1767,division of undergraduate education,2013,525,264535041
1768,division of undergraduate education,2014,428,265538918
1769,division of undergraduate education,2015,555,285280225
1770,division of undergraduate education,2016,533,344778972
1771,division of undergraduate education,2017,523,292331321
1772,division of undergraduate education,2018,516,397181258
1773,division of undergraduate education,2019,453,345278189
1774,division of undergraduate education,2020,34,30254268
1775,eet,1900,2,39600
1776,eet,1970,1,116100
1777,eet,1971,1,57600
1778,eet,1973,8,1308100
1779,eet,1974,12,643200
1780,eet,1975,14,966700
1781,eet,1976,13,1208429
1782,eet,1977,15,1683645
1783,eet,1978,12,806609
1784,eet,1979,7,898300
1785,eet,1980,12,1227970
1786,eet,1981,11,1062993
1787,eet,1982,12,1794692
1788,eet,1983,6,637183
1789,eet,1984,7,658424
1790,eet,1988,1,400541
1791,emerging frontiers,1900,2,183100
1792,emerging frontiers,1970,3,580500
1793,emerging frontiers,1971,9,2141250
1794,emerging frontiers,1972,9,629200
1795,emerging frontiers,1973,6,867700
1796,emerging frontiers,1974,26,1825215
1797,emerging frontiers,1975,33,1715457
1798,emerging frontiers,1976,16,1228465
1799,emerging frontiers,1977,11,2304021
1800,emerging frontiers,1978,7,7448783
1801,emerging frontiers,1981,16,966135
1802,emerging frontiers,1982,16,794383
1803,emerging frontiers,1983,26,1212862
1804,emerging frontiers,1984,21,1374892
1805,emerging frontiers,1985,20,1057934
1806,emerging frontiers,1986,1,74129
1807,emerging frontiers,2000,5,9958044
1808,emerging frontiers,2001,3,734342
1809,emerging frontiers,2002,9,14445464
1810,emerging frontiers,2003,65,87224951
1811,emerging frontiers,2004,71,101469661
1812,emerging frontiers,2005,33,35004358
1813,emerging frontiers,2006,23,25391075
1814,emerging frontiers,2007,40,30283823
1815,emerging frontiers,2008,55,85501096
1816,emerging frontiers,2009,49,35377595
1817,emerging frontiers,2010,30,13814979
1818,emerging frontiers,2011,88,48507466
1819,emerging frontiers,2012,45,27338354
1820,emerging frontiers,2013,44,15849358
1821,emerging frontiers,2014,29,9951134
1822,emerging frontiers,2015,29,4948445
1823,emerging frontiers,2016,10,2355543
1824,emerging frontiers,2017,19,8625418
1825,emerging frontiers,2018,7,1928857
1826,emerging frontiers,2019,42,38817205
1827,emerging frontiers and multidisciplinary activities,1976,4,22385
1828,emerging frontiers and multidisciplinary activities,1977,4,164929
1829,emerging frontiers and multidisciplinary activities,1978,1,857
1830,emerging frontiers and multidisciplinary activities,1979,4,114578
1831,emerging frontiers and multidisciplinary activities,1980,1,78349
1832,emerging frontiers and multidisciplinary activities,1981,15,1546308
1833,emerging frontiers and multidisciplinary activities,1982,16,1135044
1834,emerging frontiers and multidisciplinary activities,1983,20,1794921
1835,emerging frontiers and multidisciplinary activities,1984,31,3158453
1836,emerging frontiers and multidisciplinary activities,1987,22,1115551
1837,emerging frontiers and multidisciplinary activities,1988,101,5076341
1838,emerging frontiers and multidisciplinary activities,1989,45,1255253
1839,emerging frontiers and multidisciplinary activities,1990,68,2920515
1840,emerging frontiers and multidisciplinary activities,1991,1,448598
1841,emerging frontiers and multidisciplinary activities,1992,2,1775997
1842,emerging frontiers and multidisciplinary activities,1993,3,280300
1843,emerging frontiers and multidisciplinary activities,1994,4,101322
1844,emerging frontiers and multidisciplinary activities,1995,6,2092630
1845,emerging frontiers and multidisciplinary activities,1996,6,647455
1846,emerging frontiers and multidisciplinary activities,1997,4,4081494
1847,emerging frontiers and multidisciplinary activities,1998,3,607801
1848,emerging frontiers and multidisciplinary activities,2001,2,3785500
1849,emerging frontiers and multidisciplinary activities,2002,1,45000
1850,emerging frontiers and multidisciplinary activities,2004,2,5625760
1851,emerging frontiers and multidisciplinary activities,2005,3,461354
1852,emerging frontiers and multidisciplinary activities,2006,3,726856
1853,emerging frontiers and multidisciplinary activities,2007,13,23723739
1854,emerging frontiers and multidisciplinary activities,2008,15,28619408
1855,emerging frontiers and multidisciplinary activities,2009,27,47412421
1856,emerging frontiers and multidisciplinary activities,2010,47,37663574
1857,emerging frontiers and multidisciplinary activities,2011,28,30646265
1858,emerging frontiers and multidisciplinary activities,2012,25,34474225
1859,emerging frontiers and multidisciplinary activities,2013,24,32519721
1860,emerging frontiers and multidisciplinary activities,2014,31,36353330
1861,emerging frontiers and multidisciplinary activities,2015,22,34922224
1862,emerging frontiers and multidisciplinary activities,2016,30,31572113
1863,emerging frontiers and multidisciplinary activities,2017,28,30891931
1864,emerging frontiers and multidisciplinary activities,2018,29,37059535
1865,emerging frontiers and multidisciplinary activities,2019,13,14594661
1866,emerging frontiers and multidisciplinary activities,2020,3,5999872
1867,established program to stimulate competitive research (epscor),1993,6,43875896
1868,established program to stimulate competitive research (epscor),1995,16,51461158
1869,established program to stimulate competitive research (epscor),1996,11,7739512
1870,established program to stimulate competitive research (epscor),1997,12,9929967
1871,established program to stimulate competitive research (epscor),1998,15,23403490
1872,established program to stimulate competitive research (epscor),1999,23,27100065
1873,established program to stimulate competitive research (epscor),2000,24,17790265
1874,established program to stimulate competitive research (epscor),2001,10,59397073
1875,established program to stimulate competitive research (epscor),2002,12,61247817
1876,established program to stimulate competitive research (epscor),2003,9,35752537
1877,established program to stimulate competitive research (epscor),2004,8,37026768
1878,established program to stimulate competitive research (epscor),2005,8,47571115
1879,established program to stimulate competitive research (epscor),2006,10,32259895
1880,established program to stimulate competitive research (epscor),2007,16,65461056
1881,established program to stimulate competitive research (epscor),2008,9,110002388
1882,established program to stimulate competitive research (epscor),2009,17,86043253
1883,established program to stimulate competitive research (epscor),2010,28,90990046
1884,established program to stimulate competitive research (epscor),2011,11,32049684
1885,general counsel,2008,1,134718
1886,general counsel,2009,1,5100
1887,general counsel,2010,1,5000
1888,general counsel,2011,2,622500
1889,general counsel,2012,1,10500
1890,general counsel,2013,1,10000
1891,general counsel,2019,1,19862
1892,information technology research,2011,2,1016846
1893,information technology research,2013,1,526806
1894,information technology research,2014,1,14080
1895,information technology research,2015,1,14740
1896,integrative and collaborative education and research (icer) ,1974,1,14240400
1897,integrative and collaborative education and research (icer) ,1978,2,50166547
1898,integrative and collaborative education and research (icer) ,2007,2,13850000
1899,integrative and collaborative education and research (icer) ,2009,3,6489040
1900,integrative and collaborative education and research (icer) ,2011,9,6598325
1901,integrative and collaborative education and research (icer) ,2012,16,14326574
1902,integrative and collaborative education and research (icer) ,2013,56,31876034
1903,integrative and collaborative education and research (icer) ,2014,59,24012424
1904,integrative and collaborative education and research (icer) ,2015,90,37016809
1905,integrative and collaborative education and research (icer) ,2016,103,39196084
1906,integrative and collaborative education and research (icer) ,2017,105,37950351
1907,integrative and collaborative education and research (icer) ,2018,58,20755721
1908,integrative and collaborative education and research (icer) ,2019,167,49165184
1909,integrative and collaborative education and research (icer) ,2020,15,8487106
1910,large facilities office,2015,1,46032
1911,large facilities office,2016,7,1802116
1912,large facilities office,2017,4,1256926
1913,large facilities office,2018,1,498800
1914,large facilities office,2019,34,30866642
1915,large facilities office,2020,6,5305770
1916,national center for science and engineering statistics,1964,1,233849
1917,national center for science and engineering statistics,1967,1,2719969
1918,national center for science and engineering statistics,1969,1,536500
1919,national center for science and engineering statistics,1970,1,21736
1920,national center for science and engineering statistics,1971,2,16450
1921,national center for science and engineering statistics,1972,5,202418
1922,national center for science and engineering statistics,1973,1,100000
1923,national center for science and engineering statistics,1974,12,2024225
1924,national center for science and engineering statistics,1975,14,3563120
1925,national center for science and engineering statistics,1976,16,1456678
1926,national center for science and engineering statistics,1977,20,2052107
1927,national center for science and engineering statistics,1978,17,4101055
1928,national center for science and engineering statistics,1979,19,3433178
1929,national center for science and engineering statistics,1980,18,3044300
1930,national center for science and engineering statistics,1981,21,7344364
1931,national center for science and engineering statistics,1982,13,4403553
1932,national center for science and engineering statistics,1983,18,1539551
1933,national center for science and engineering statistics,1984,18,3616665
1934,national center for science and engineering statistics,1985,23,4823199
1935,national center for science and engineering statistics,1986,27,7119620
1936,national center for science and engineering statistics,1987,22,7269225
1937,national center for science and engineering statistics,1988,16,4105986
1938,national center for science and engineering statistics,1989,20,4678026
1939,national center for science and engineering statistics,1990,17,5305490
1940,national center for science and engineering statistics,1991,16,6547266
1941,national center for science and engineering statistics,1992,20,23190182
1942,national center for science and engineering statistics,1993,15,11739974
1943,national center for science and engineering statistics,1994,17,11963711
1944,national center for science and engineering statistics,1995,18,8726053
1945,national center for science and engineering statistics,1996,20,11605228
1946,national center for science and engineering statistics,1997,23,28499117
1947,national center for science and engineering statistics,1998,9,7507055
1948,national center for science and engineering statistics,1999,19,3358755
1949,national center for science and engineering statistics,2000,17,12167983
1950,national center for science and engineering statistics,2001,23,31529148
1951,national center for science and engineering statistics,2002,19,72627391
1952,national center for science and engineering statistics,2003,5,5173960
1953,national center for science and engineering statistics,2004,12,18540072
1954,national center for science and engineering statistics,2005,13,3863703
1955,national center for science and engineering statistics,2006,10,22080517
1956,national center for science and engineering statistics,2007,18,47042227
1957,national center for science and engineering statistics,2008,9,33482519
1958,national center for science and engineering statistics,2009,7,8667648
1959,national center for science and engineering statistics,2010,11,34604899
1960,national center for science and engineering statistics,2011,8,22600096
1961,national center for science and engineering statistics,2012,12,36469458
1962,national center for science and engineering statistics,2013,12,6497451
1963,national center for science and engineering statistics,2014,15,26355864
1964,national center for science and engineering statistics,2015,15,11199893
1965,national center for science and engineering statistics,2016,7,19952531
1966,national center for science and engineering statistics,2017,10,24946293
1967,national center for science and engineering statistics,2018,6,26903260
1968,national center for science and engineering statistics,2019,9,7560869
1969,national coordination office,1996,1,760000
1970,national coordination office,1997,2,1114249
1971,national coordination office,1998,2,1863656
1972,national coordination office,1999,1,460943
1973,national coordination office,2000,1,4750000
1974,national coordination office,2001,1,452928
1975,national coordination office,2003,1,6000000
1976,national coordination office,2005,2,22105218
1977,national coordination office,2007,1,836852
1978,national coordination office,2008,1,919100
1979,national coordination office,2009,1,2640
1980,national coordination office,2014,1,283787
1981,national coordination office,2018,1,917307
1982,national coordination office,2019,1,5500
1983,national science board,1991,1,548000
1984,national science board,1994,1,150000
1985,national science board,2006,2,325294
1986,national science board,2008,1,11632
1987,natl nanotechnology coordinating office,2007,1,350000
1988,natl nanotechnology coordinating office,2015,1,444411
1989,natl nanotechnology coordinating office,2017,1,0
1990,natl nanotechnology coordinating office,2018,1,654480
1991,natl nanotechnology coordinating office,2019,1,9000
1992,office of advanced cyberinfrastructure (oac),1900,1,17900
1993,office of advanced cyberinfrastructure (oac),1917,1,20000
1994,office of advanced cyberinfrastructure (oac),1961,1,40160
1995,office of advanced cyberinfrastructure (oac),1966,1,5900
1996,office of advanced cyberinfrastructure (oac),1967,1,14136
1997,office of advanced cyberinfrastructure (oac),1968,2,24005
1998,office of advanced cyberinfrastructure (oac),1969,1,184135
1999,office of advanced cyberinfrastructure (oac),1970,1,29440
2000,office of advanced cyberinfrastructure (oac),1971,4,180295
2001,office of advanced cyberinfrastructure (oac),1972,4,666390
2002,office of advanced cyberinfrastructure (oac),1973,8,726779
2003,office of advanced cyberinfrastructure (oac),1974,186,12837788
2004,office of advanced cyberinfrastructure (oac),1975,659,17248320
2005,office of advanced cyberinfrastructure (oac),1976,4,71800
2006,office of advanced cyberinfrastructure (oac),1982,4,203300
2007,office of advanced cyberinfrastructure (oac),1983,6,243776
2008,office of advanced cyberinfrastructure (oac),1984,5,18978035
2009,office of advanced cyberinfrastructure (oac),1985,32,222224171
2010,office of advanced cyberinfrastructure (oac),1986,29,52400858
2011,office of advanced cyberinfrastructure (oac),1987,21,2192083
2012,office of advanced cyberinfrastructure (oac),1988,19,4368654
2013,office of advanced cyberinfrastructure (oac),1989,20,112733646
2014,office of advanced cyberinfrastructure (oac),1990,58,368173045
2015,office of advanced cyberinfrastructure (oac),1991,47,8901289
2016,office of advanced cyberinfrastructure (oac),1992,41,6930544
2017,office of advanced cyberinfrastructure (oac),1993,35,5746460
2018,office of advanced cyberinfrastructure (oac),1994,47,18837612
2019,office of advanced cyberinfrastructure (oac),1995,53,69852464
2020,office of advanced cyberinfrastructure (oac),1996,44,9438607
2021,office of advanced cyberinfrastructure (oac),1997,56,524170326
2022,office of advanced cyberinfrastructure (oac),1998,56,30624115
2023,office of advanced cyberinfrastructure (oac),1999,37,34539471
2024,office of advanced cyberinfrastructure (oac),2000,35,106264206
2025,office of advanced cyberinfrastructure (oac),2001,45,108729145
2026,office of advanced cyberinfrastructure (oac),2002,53,40676178
2027,office of advanced cyberinfrastructure (oac),2003,60,47613967
2028,office of advanced cyberinfrastructure (oac),2004,55,50632890
2029,office of advanced cyberinfrastructure (oac),2005,91,407940999
2030,office of advanced cyberinfrastructure (oac),2006,32,79538892
2031,office of advanced cyberinfrastructure (oac),2007,97,374902217
2032,office of advanced cyberinfrastructure (oac),2008,95,35310888
2033,office of advanced cyberinfrastructure (oac),2009,199,179194385
2034,office of advanced cyberinfrastructure (oac),2010,175,187550868
2035,office of advanced cyberinfrastructure (oac),2011,146,257408268
2036,office of advanced cyberinfrastructure (oac),2012,241,111102864
2037,office of advanced cyberinfrastructure (oac),2013,188,330025347
2038,office of advanced cyberinfrastructure (oac),2014,194,150614803
2039,office of advanced cyberinfrastructure (oac),2015,228,176247746
2040,office of advanced cyberinfrastructure (oac),2016,276,310596129
2041,office of advanced cyberinfrastructure (oac),2017,210,145099106
2042,office of advanced cyberinfrastructure (oac),2018,307,225070790
2043,office of advanced cyberinfrastructure (oac),2019,216,125576587
2044,office of advanced cyberinfrastructure (oac),2020,12,6500051
2045,"office of budget, finance, and award management",1994,1,11800
2046,"office of budget, finance, and award management",1995,1,13700
2047,"office of budget, finance, and award management",1996,1,12900
2048,"office of budget, finance, and award management",1997,1,13184
2049,"office of budget, finance, and award management",1998,1,11776
2050,"office of budget, finance, and award management",1999,2,63816
2051,"office of budget, finance, and award management",2000,2,44816
2052,"office of budget, finance, and award management",2001,1,17768
2053,"office of budget, finance, and award management",2002,1,15456
2054,"office of budget, finance, and award management",2003,1,17352
2055,"office of budget, finance, and award management",2004,1,17416
2056,"office of budget, finance, and award management",2005,2,29128
2057,"office of budget, finance, and award management",2006,1,100000
2058,"office of budget, finance, and award management",2007,3,81000
2059,"office of budget, finance, and award management",2008,1,85000
2060,"office of budget, finance, and award management",2009,1,95000
2061,"office of budget, finance, and award management",2010,1,200000
2062,"office of budget, finance, and award management",2012,1,210000
2063,"office of budget, finance, and award management",2014,1,210000
2064,"office of budget, finance, and award management",2016,2,244094
2065,"office of budget, finance, and award management",2017,7,727410
2066,"office of budget, finance, and award management",2018,7,1621929
2067,"office of budget, finance, and award management",2019,7,1661901
2068,office of diversity and inclusion,1979,4,1441164
2069,office of diversity and inclusion,1980,22,1922470
2070,office of diversity and inclusion,1981,53,1406615
2071,office of diversity and inclusion,1982,5,2455625
2072,office of diversity and inclusion,1983,3,373223
2073,office of diversity and inclusion,1989,1,38982
2074,office of diversity and inclusion,1993,2,75272
2075,office of diversity and inclusion,1994,1,25000
2076,office of diversity and inclusion,1997,1,87189
2077,office of diversity and inclusion,1998,1,99000
2078,office of diversity and inclusion,1999,1,85000
2079,office of diversity and inclusion,2002,1,190217
2080,office of diversity and inclusion,2018,1,101000
2081,office of information and resource management,1990,2,5000
2082,office of information and resource management,1991,2,10000
2083,office of information and resource management,2003,1,12500
2084,office of information and resource management,2012,2,19593
2085,office of information and resource management,2016,1,4510
2086,office of inspector general,1982,1,56898
2087,office of inspector general,2004,2,1683283
2088,office of inspector general,2005,4,707388
2089,office of inspector general,2006,1,0
2090,office of inspector general,2007,1,866812
2091,office of inspector general,2008,2,904228
2092,office of inspector general,2009,2,1954444
2093,office of inspector general,2010,1,2800
2094,office of inspector general,2011,3,4858147
2095,office of inspector general,2012,2,242587
2096,office of inspector general,2016,2,187998
2097,office of inspector general,2018,5,650009
2098,office of integrative activities,1977,1,3500
2099,office of integrative activities,1989,8,265000
2100,office of integrative activities,1990,1,83850
2101,office of integrative activities,1991,35,18959262
2102,office of integrative activities,1992,7,2877850
2103,office of integrative activities,1993,12,8427025
2104,office of integrative activities,1994,13,11981127
2105,office of integrative activities,1995,15,7483479
2106,office of integrative activities,1996,13,2618018
2107,office of integrative activities,1997,7,2594736
2108,office of integrative activities,1998,11,24937449
2109,office of integrative activities,1999,6,1385784
2110,office of integrative activities,2000,6,517755
2111,office of integrative activities,2001,6,991197
2112,office of integrative activities,2002,4,2281114
2113,office of integrative activities,2003,7,15806641
2114,office of integrative activities,2005,4,6846182
2115,office of integrative activities,2006,3,978103
2116,office of integrative activities,2007,6,1911988
2117,office of integrative activities,2008,7,22860534
2118,office of integrative activities,2009,7,29535364
2119,office of integrative activities,2010,19,63202363
2120,office of integrative activities,2011,3,42722081
2121,office of integrative activities,2012,12,24822287
2122,office of integrative activities,2013,20,144163035
2123,office of integrative activities,2014,25,130923388
2124,office of integrative activities,2015,12,85043588
2125,office of integrative activities,2016,28,115532799
2126,office of integrative activities,2017,43,107666750
2127,office of integrative activities,2018,52,100256574
2128,office of integrative activities,2019,66,76759212
2129,office of international science and engineering,1957,1,75800
2130,office of international science and engineering,1970,2,454805
2131,office of international science and engineering,1971,1,254285
2132,office of international science and engineering,1972,4,215255
2133,office of international science and engineering,1973,11,475548
2134,office of international science and engineering,1974,8,261250
2135,office of international science and engineering,1975,17,397200
2136,office of international science and engineering,1976,25,714450
2137,office of international science and engineering,1977,25,627053
2138,office of international science and engineering,1978,18,1610958
2139,office of international science and engineering,1979,27,1030978
2140,office of international science and engineering,1980,54,5657718
2141,office of international science and engineering,1981,37,597306
2142,office of international science and engineering,1982,57,1638398
2143,office of international science and engineering,1983,71,4832190
2144,office of international science and engineering,1984,94,2441327
2145,office of international science and engineering,1985,82,4863232
2146,office of international science and engineering,1986,116,12451930
2147,office of international science and engineering,1987,118,2873342
2148,office of international science and engineering,1988,115,3195446
2149,office of international science and engineering,1989,113,2625102
2150,office of international science and engineering,1990,115,8997389
2151,office of international science and engineering,1991,111,2787096
2152,office of international science and engineering,1992,122,9946955
2153,office of international science and engineering,1993,111,159083580
2154,office of international science and engineering,1994,104,8701545
2155,office of international science and engineering,1995,105,198237694
2156,office of international science and engineering,1996,124,4152245
2157,office of international science and engineering,1997,122,5566769
2158,office of international science and engineering,1998,118,14065854
2159,office of international science and engineering,1999,136,4887885
2160,office of international science and engineering,2000,112,5510265
2161,office of international science and engineering,2001,136,10433032
2162,office of international science and engineering,2002,123,6845434
2163,office of international science and engineering,2003,126,12314195
2164,office of international science and engineering,2004,97,4565207
2165,office of international science and engineering,2005,65,19700374
2166,office of international science and engineering,2006,61,3333973
2167,office of international science and engineering,2007,63,31475097
2168,office of international science and engineering,2008,84,8957326
2169,office of international science and engineering,2009,103,8498592
2170,office of international science and engineering,2010,116,47615253
2171,office of international science and engineering,2011,82,13255641
2172,office of international science and engineering,2012,72,33962370
2173,office of international science and engineering,2013,49,20083477
2174,office of international science and engineering,2014,66,68925461
2175,office of international science and engineering,2015,65,60352419
2176,office of international science and engineering,2016,51,21985217
2177,office of international science and engineering,2017,43,42387870
2178,office of international science and engineering,2018,42,17006762
2179,office of international science and engineering,2019,31,12711093
2180,office of internatl science andengineering,1900,8,173241
2181,office of internatl science andengineering,1960,1,4012090
2182,office of internatl science andengineering,1962,1,90000
2183,office of internatl science andengineering,1967,3,11563409
2184,office of internatl science andengineering,1969,2,163915
2185,office of internatl science andengineering,1970,4,57260
2186,office of internatl science andengineering,1971,12,7367185
2187,office of internatl science andengineering,1972,38,16081538
2188,office of internatl science andengineering,1973,46,8613234
2189,office of internatl science andengineering,1974,83,4933530
2190,office of internatl science andengineering,1975,98,5923637
2191,office of internatl science andengineering,1976,267,6482377
2192,office of internatl science andengineering,1977,319,10252646
2193,office of internatl science andengineering,1978,241,9037812
2194,office of internatl science andengineering,1979,344,11843300
2195,office of internatl science andengineering,1980,436,18088803
2196,office of internatl science andengineering,1981,368,6125361
2197,office of internatl science andengineering,1982,383,10789274
2198,office of internatl science andengineering,1983,419,9900096
2199,office of internatl science andengineering,1984,550,14250966
2200,office of internatl science andengineering,1985,597,8427776
2201,office of internatl science andengineering,1986,506,9118225
2202,office of internatl science andengineering,1987,440,12490886
2203,office of internatl science andengineering,1988,447,10396445
2204,office of internatl science andengineering,1989,546,10467700
2205,office of internatl science andengineering,1990,513,14440004
2206,office of internatl science andengineering,1991,534,11403799
2207,office of internatl science andengineering,1992,584,9722121
2208,office of internatl science andengineering,1993,348,8939229
2209,office of internatl science andengineering,1994,351,8508082
2210,office of internatl science andengineering,1995,316,10458831
2211,office of internatl science andengineering,1996,320,7656014
2212,office of internatl science andengineering,1997,313,7659678
2213,office of internatl science andengineering,1998,296,14199707
2214,office of internatl science andengineering,1999,247,6699064
2215,office of internatl science andengineering,2000,233,9505804
2216,office of internatl science andengineering,2001,226,6517938
2217,office of internatl science andengineering,2002,216,8343700
2218,office of internatl science andengineering,2003,306,11993866
2219,office of internatl science andengineering,2004,323,8658397
2220,office of internatl science andengineering,2005,269,16906106
2221,office of internatl science andengineering,2006,251,11065963
2222,office of internatl science andengineering,2007,276,24588277
2223,office of internatl science andengineering,2008,79,4714221
2224,office of internatl science andengineering,2009,274,6770952
2225,office of internatl science andengineering,2010,87,3745732
2226,office of internatl science andengineering,2011,47,2044630
2227,office of internatl science andengineering,2012,24,1244730
2228,office of internatl science andengineering,2013,8,700728
2229,office of internatl science andengineering,2014,15,807714
2230,office of internatl science andengineering,2015,8,1214366
2231,office of internatl science andengineering,2016,3,249588
2232,office of internatl science andengineering,2017,6,558692
2233,office of legislative and public affairs,1985,3,1912999
2234,office of legislative and public affairs,1986,2,174781
2235,office of legislative and public affairs,1987,5,593982
2236,office of legislative and public affairs,1988,3,138246
2237,office of legislative and public affairs,1989,3,353334
2238,office of legislative and public affairs,1990,6,660513
2239,office of legislative and public affairs,1991,3,5230462
2240,office of legislative and public affairs,1992,2,100000
2241,office of legislative and public affairs,1994,1,1114606
2242,office of legislative and public affairs,1995,2,178535
2243,office of legislative and public affairs,1997,2,5925486
2244,office of legislative and public affairs,1998,1,1300000
2245,office of legislative and public affairs,1999,2,1697799
2246,office of legislative and public affairs,2002,1,71000
2247,office of legislative and public affairs,2005,1,1075000
2248,office of legislative and public affairs,2006,1,239370
2249,office of legislative and public affairs,2007,2,7999539
2250,office of legislative and public affairs,2008,3,1199263
2251,office of legislative and public affairs,2010,1,20715807
2252,office of legislative and public affairs,2015,1,15113729
2253,office of legislative and public affairs,2019,1,22833
2254,office of multidiscplinary activities,1972,1,35000
2255,office of multidiscplinary activities,1976,21,1316069
2256,office of multidiscplinary activities,1977,9,1006577
2257,office of multidiscplinary activities,1978,11,916862
2258,office of multidiscplinary activities,1979,6,518707
2259,office of multidiscplinary activities,1980,6,971094
2260,office of multidiscplinary activities,1983,15,15
2261,office of multidiscplinary activities,2004,1,25137245
2262,office of multidiscplinary activities,2006,1,15057669
2263,office of multidiscplinary activities,2008,1,214806
2264,office of multidiscplinary activities,2009,9,1092099
2265,office of multidiscplinary activities,2010,50,74986789
2266,office of multidiscplinary activities,2011,59,58418595
2267,office of multidiscplinary activities,2012,63,16012968
2268,office of multidiscplinary activities,2013,90,29205946
2269,office of multidiscplinary activities,2014,88,28361089
2270,office of multidiscplinary activities,2015,112,36336050
2271,office of multidiscplinary activities,2016,110,35166421
2272,office of multidiscplinary activities,2017,139,27385940
2273,office of multidiscplinary activities,2018,80,21181024
2274,office of multidiscplinary activities,2019,78,17220587
2275,office of multidiscplinary activities,2020,6,720151
2276,office of planning and assessment,1966,1,6600000
2277,office of planning and assessment,1967,2,6322000
2278,office of planning and assessment,1968,2,11987000
2279,office of planning and assessment,1969,2,6660000
2280,office of planning and assessment,1970,7,3884480
2281,office of planning and assessment,1971,7,1521200
2282,office of planning and assessment,1972,11,4149296
2283,office of planning and assessment,1973,15,14276571
2284,office of planning and assessment,1974,50,4994408
2285,office of planning and assessment,1975,71,7669499
2286,office of planning and assessment,1976,28,2575267
2287,office of planning and assessment,1977,12,944449
2288,office of planning and assessment,1978,28,3840914
2289,office of planning and assessment,1979,26,3599645
2290,office of planning and assessment,1980,26,3546503
2291,office of planning and assessment,1981,34,5869943
2292,office of planning and assessment,1982,21,4752797
2293,office of planning and assessment,1983,29,2407190
2294,office of planning and assessment,1984,47,4581505
2295,office of planning and assessment,1985,32,3222700
2296,office of planning and assessment,1986,19,2111503
2297,office of planning and assessment,1987,7,2450659
2298,office of planning and assessment,1989,2,48923
2299,office of planning and assessment,1990,1,254000
2300,office of polar programs,1900,4,882445
2301,office of polar programs,1918,1,12000
2302,office of polar programs,1964,1,18800
2303,office of polar programs,1966,1,42000
2304,office of polar programs,1967,1,2224050
2305,office of polar programs,1969,1,34400
2306,office of polar programs,1970,6,9359595
2307,office of polar programs,1971,17,4122363
2308,office of polar programs,1972,9,21576300
2309,office of polar programs,1973,13,16040526
2310,office of polar programs,1974,37,11713822
2311,office of polar programs,1975,40,25152219
2312,office of polar programs,1976,95,1005730886
2313,office of polar programs,1977,119,22143327
2314,office of polar programs,1978,131,12822434
2315,office of polar programs,1979,94,257486044
2316,office of polar programs,1980,74,12610465
2317,office of polar programs,1981,106,14320772
2318,office of polar programs,1982,94,12825291
2319,office of polar programs,1983,106,38424838
2320,office of polar programs,1984,106,20851438
2321,office of polar programs,1985,96,21449042
2322,office of polar programs,1986,106,25592660
2323,office of polar programs,1987,105,22601821
2324,office of polar programs,1988,127,48590932
2325,office of polar programs,1989,150,936300549
2326,office of polar programs,1990,154,41237190
2327,office of polar programs,1991,140,75592618
2328,office of polar programs,1992,175,37718136
2329,office of polar programs,1993,171,38018239
2330,office of polar programs,1994,227,87447554
2331,office of polar programs,1995,166,36672231
2332,office of polar programs,1996,183,51579244
2333,office of polar programs,1997,215,884299396
2334,office of polar programs,1998,173,45669225
2335,office of polar programs,1999,216,1937234288
2336,office of polar programs,2000,225,305431138
2337,office of polar programs,2001,174,178510618
2338,office of polar programs,2002,229,305039289
2339,office of polar programs,2003,203,68652778
2340,office of polar programs,2004,219,134721720
2341,office of polar programs,2005,228,280026257
2342,office of polar programs,2006,209,276716495
2343,office of polar programs,2007,315,179341018
2344,office of polar programs,2008,203,111589057
2345,office of polar programs,2009,335,162401410
2346,office of polar programs,2010,242,166183380
2347,office of polar programs,2011,256,157595893
2348,office of polar programs,2012,282,470502719
2349,office of polar programs,2013,264,151346993
2350,office of polar programs,2014,211,170275258
2351,office of polar programs,2015,248,105584719
2352,office of polar programs,2016,285,151942070
2353,office of polar programs,2017,220,212670370
2354,office of polar programs,2018,242,199740198
2355,office of polar programs,2019,171,106327471
2356,office of polar programs,2020,11,4550243
2357,office of polar programs,2021,1,1237134
2358,office of science and technology infrastructure,1998,1,75000
2359,office of the director,1967,1,0
2360,office of the director,1994,1,100000
2361,office of the director,1997,2,190000
2362,office of the director,1998,1,171529
